PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28,Hole29
Par,Coyote Point at Lake Casitas,Main,2022-05-19 20:33,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-05-19 20:33,71,17,3,3,3,4,3,5,4,4,3,4,6,3,4,5,4,5,4,4,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-05-19 20:33,61,7,3,4,3,3,3,3,4,4,4,4,3,3,3,4,3,4,3,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-05-17 20:33,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-05-17 20:33,58,4,3,3,3,4,3,4,4,3,3,2,3,3,2,3,4,3,4,4,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-05-17 20:33,60,6,2,4,3,3,4,3,3,3,2,4,4,4,4,3,4,4,3,3,,,,,,,,,,,
Par,P. J. Irvin,S2S/G2G,2022-05-14 14:38,56,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,,,,,,,,,,,
Mike,P. J. Irvin,S2S/G2G,2022-05-14 14:38,74,18,3,4,3,3,3,4,4,4,4,4,4,4,5,4,4,5,6,6,,,,,,,,,,,
Cjtheguardian,P. J. Irvin,S2S/G2G,2022-05-14 14:38,66,10,5,4,3,3,3,2,3,3,3,3,4,4,5,6,3,3,4,5,,,,,,,,,,,
Par,South Mountain,White (Main),2022-05-01 12:18,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,South Mountain,White (Main),2022-05-01 12:18,55,1,3,3,3,2,3,3,4,3,3,3,2,3,3,3,4,4,3,3,,,,,,,,,,,
Corey,South Mountain,White (Main),2022-05-01 12:18,81,27,4,4,5,5,4,3,5,4,4,5,4,4,5,4,5,5,5,6,,,,,,,,,,,
Par,Wolf Hill,Normal Course,2022-04-30 12:51,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,,,
Cjtheguardian,Wolf Hill,Normal Course,2022-04-30 12:51,58,3,3,3,3,3,3,3,4,4,3,4,3,4,2,3,2,5,3,3,,,,,,,,,,,
Joe,Wolf Hill,Normal Course,2022-04-30 12:51,62,7,4,4,3,2,4,3,3,3,6,3,4,5,3,2,3,4,2,4,,,,,,,,,,,
Par,Wolf Hill,Normal Course,2022-04-30 11:23,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,,,
Cjtheguardian,Wolf Hill,Normal Course,2022-04-30 11:23,60,5,3,2,3,3,5,3,4,4,3,4,4,3,3,3,3,4,3,3,,,,,,,,,,,
Joe,Wolf Hill,Normal Course,2022-04-30 11:23,62,7,3,3,3,3,4,4,3,3,4,3,4,4,3,3,3,5,3,4,,,,,,,,,,,
Bobby,Wolf Hill,Normal Course,2022-04-30 11:23,65,10,4,3,3,3,5,2,3,5,4,4,4,3,4,3,3,5,3,4,,,,,,,,,,,
Par,Wolf Hill,Normal Course,2022-04-29 09:08,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,,,
Cjtheguardian,Wolf Hill,Normal Course,2022-04-29 09:08,60,5,3,3,4,3,3,3,4,3,3,3,4,3,4,2,4,4,3,4,,,,,,,,,,,
Par,Wolf Hill,Normal Course,2022-04-29 08:12,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,,,
Cjtheguardian,Wolf Hill,Normal Course,2022-04-29 08:12,58,3,3,3,3,2,4,3,3,4,3,3,5,3,3,2,3,5,3,3,,,,,,,,,,,
Par,Allaire State Park,Main,2022-04-24 12:08,60,,3,3,4,3,3,3,3,5,4,4,3,3,3,3,3,3,3,4,,,,,,,,,,,
Cjtheguardian,Allaire State Park,Main,2022-04-24 12:08,73,13,3,4,5,4,4,4,3,6,6,4,3,2,4,4,3,4,4,6,,,,,,,,,,,
nowhereman,Allaire State Park,Main,2022-04-24 12:08,101,41,5,6,7,5,5,4,4,10,7,6,5,6,3,4,6,6,4,8,,,,,,,,,,,
